plant_variety,repeat,fungusID,condition,experimental_replication,EVALUATION,DS,SBSX
NK008PXF,2,HS10,inplanta,1,21DAI,11.16666667,5.982142857
NK008PXF,3,HS10,inplanta,1,21DAI,9.93877551,7.323308271
S-26-E-3,1,HS10,inplanta,1,21DAI,9.204081633,5.916909621
S-26-E-3,2,HS10,inplanta,1,21DAI,8.285714286,5.098901099
S-26-E-3,3,HS10,inplanta,1,21DAI,9.234375,4.972355769
William82,1,HS10,inplanta,1,21DAI,12.24,8.345454545
William82,2,HS10,inplanta,1,21DAI,8.055555556,5.994832041
William82,3,HS10,inplanta,1,21DAI,17.6,14.85
NK28P6XF,1,HS05,inplanta,1,21DAI,18.875,14.90131579
NK28P6XF,2,HS05,inplanta,1,21DAI,5.96,3.531851852
NK28P6XF,3,HS05,inplanta,1,21DAI,9.76,6.971428571
NK008PXF,1,HS05,inplanta,1,21DAI,13.75,10.85526316
NK008PXF,2,HS05,inplanta,1,21DAI,9.125,5.407407407
NK008PXF,3,HS05,inplanta,1,21DAI,14.5,8.826086957
S-26-E-3,1,HS05,inplanta,1,21DAI,10.24489796,7.009667025
S-26-E-3,2,HS05,inplanta,1,21DAI,14.44444444,10.83333333
S-26-E-3,3,HS05,inplanta,1,21DAI,14.8,9.347368421
William82,1,HS05,inplanta,1,21DAI,16.2,13.77
William82,2,HS05,inplanta,1,21DAI,14.02777778,9.871399177
William82,3,HS05,inplanta,1,21DAI,16.8,14.28
NK28P6xF,1,HS03,inplanta,2,21DAI,8.65,5.13
NK28P6xF,2,HS03,inplanta,2,21DAI,11.44,7.63
NK28P6xF,3,HS03,inplanta,2,21DAI,11.58,8.97
NK008-PXF,1,HS03,inplanta,2,21DAI,5.65,3.23
NK008-PXF,2,HS03,inplanta,2,21DAI,8.39,6.62
NK008-PXF,3,HS03,inplanta,2,21DAI,8.11,6.4
S-26-E-3,1,HS03,inplanta,2,21DAI,9.489795918,6.326530612
S-26-E-3,2,HS03,inplanta,2,21DAI,10.51020408,5.56422569
S-26-E-3,3,HS03,inplanta,2,21DAI,35.96875,23.97916667
William82,1,HS03,inplanta,2,21DAI,8.673469388,5.204081633
William82,2,HS03,inplanta,2,21DAI,8.551020408,8.265986395
William82,3,HS03,inplanta,2,21DAI,11.58333333,7.215846995
NK28P6XF,1,HS08,inplanta,2,21DAI,,
NK28P6XF,2,HS08,inplanta,2,21DAI,,
NK28P6XF,3,HS08,inplanta,2,21DAI,,
NK008PXF,1,HS08,inplanta,2,21DAI,5.959183673,3.450053706
NK008PXF,2,HS08,inplanta,2,21DAI,6.734693878,5.139634801
NK008PXF,3,HS08,inplanta,2,21DAI,6.777777778,5.252777778
S-26-E-3,1,HS08,inplanta,2,21DAI,6.67,5.717142857
S-26-E-3,2,HS08,inplanta,2,21DAI,,
S-26-E-3,3,HS08,inplanta,2,21DAI,8.428571429,6.321428571
William82,1,HS08,inplanta,2,21DAI,7.296296296,4.586243386
William82,2,HS08,inplanta,2,21DAI,13.52777778,7.057971014
William82,3,HS08,inplanta,2,21DAI,13.94444444,7.679549114
NK28P6XF,1,HS02,inplanta,2,21DAI,11.52777778,8.825954861
NK28P6XF,2,HS02,inplanta,2,21DAI,8.714285714,7.352678571
NK28P6XF,3,HS02,inplanta,2,21DAI,11.44444444,7.44297619
NK008PXF,1,HS02,inplanta,2,21DAI,7.387755102,5.27696793
NK008PXF,2,HS02,inplanta,2,21DAI,8.388888889,6.121621622
NK008PXF,3,HS02,inplanta,2,21DAI,6.775510204,5.211930926
S-26-E-3,1,HS02,inplanta,2,21DAI,10.85714286,5.428571429
S-26-E-3,2,HS02,inplanta,2,21DAI,8.285714286,4.919642857
S-26-E-3,3,HS02,inplanta,2,21DAI,14.16666667,9.807692308
